frame_idx,t_frame_start,t_after_inference,t_first_command,human,bbox_cx,bbox_cy,diff_x,diff_y,pan_step_deg,inference_latency_ms,command_latency_ms,total_software_latency_ms
1,1542.74369,1546.154385,1546.155172,1,284,405,-356,45,-1.2,3410.695,0.787,3411.482
2,1546.264357,1546.297722,1546.298921,1,281,400,-359,40,-1.2,33.365,1.2,34.565
3,1546.323597,1546.362614,1546.363873,1,281,399,-359,39,-1.2,39.017,1.259,40.276
4,1546.374284,1546.4077,1546.409469,1,280,400,-360,40,-1.2,33.416,1.769,35.186
5,1546.436427,1546.474545,1546.475815,1,281,400,-359,40,-1.2,38.117,1.27,39.388
6,1546.485184,1546.531199,1546.532476,1,280,400,-360,40,-1.2,46.015,1.277,47.293
7,1546.551272,1546.601364,1546.602965,1,280,400,-360,40,-1.2,50.092,1.601,51.692
8,1546.61385,1546.649421,1546.65078,1,281,400,-359,40,-1.2,35.571,1.359,36.93
9,1546.667468,1546.695827,1546.697086,1,280,401,-360,41,-1.2,28.359,1.259,29.618
10,1546.707802,1546.736444,1546.737737,1,281,402,-359,42,-1.2,28.642,1.293,29.935
11,1546.754875,1546.78363,1546.784893,1,280,401,-360,41,-1.2,28.755,1.262,30.018
12,1546.794157,1546.820717,1546.821957,1,281,401,-359,41,-1.2,26.56,1.24,27.8
13,1546.8385,1546.865572,1546.866748,1,280,400,-360,40,-1.2,27.072,1.176,28.248
14,1546.877597,1546.905084,1546.906257,1,280,400,-360,40,-1.2,27.487,1.173,28.66
15,1546.923213,1546.949574,1546.950862,1,280,401,-360,41,-1.2,26.361,1.288,27.649
16,1546.959668,1546.989196,1546.990447,1,280,400,-360,40,-1.2,29.528,1.251,30.779
17,1547.009144,1547.036922,1547.038162,1,280,400,-360,40,-1.2,27.778,1.24,29.018
18,1547.04735,1547.073765,1547.074929,1,280,401,-360,41,-1.2,26.415,1.164,27.579
19,1547.091455,1547.117286,1547.118481,1,280,400,-360,40,-1.2,25.831,1.195,27.026
20,1547.129441,1547.155555,1547.156843,1,280,401,-360,41,-1.2,26.115,1.288,27.402
21,1547.173911,1547.208027,1547.209219,1,280,401,-360,41,-1.2,34.116,1.192,35.308
22,1547.21808,1547.245556,1547.246772,1,280,401,-360,41,-1.2,27.476,1.216,28.692
23,1547.265331,1547.293838,1547.295118,1,280,401,-360,41,-1.2,28.507,1.28,29.787
24,1547.304392,1547.331049,1547.332244,1,280,404,-360,44,-1.2,26.657,1.195,27.852
25,1547.34862,1547.378346,1547.379579,1,280,402,-360,42,-1.2,29.726,1.233,30.959
26,1547.391011,1547.42146,1547.422766,1,280,401,-360,41,-1.2,30.45,1.306,31.756
27,1547.439677,1547.469869,1547.471073,1,280,402,-360,42,-1.2,30.191,1.205,31.396
28,1547.480434,1547.511499,1547.5128,1,280,402,-360,42,-1.2,31.065,1.301,32.366
29,1547.529702,1547.560824,1547.562048,1,280,403,-360,43,-1.2,31.121,1.224,32.346
30,1547.573009,1547.603696,1547.604931,1,280,402,-360,42,-1.2,30.687,1.235,31.922
31,1547.623343,1547.654095,1547.655441,1,280,403,-360,43,-1.2,30.752,1.345,32.098
32,1547.664447,1547.696936,1547.698117,1,281,404,-359,44,-1.2,32.488,1.181,33.669
33,1547.717059,1547.747835,1547.749214,1,280,401,-360,41,-1.2,30.776,1.379,32.155
34,1547.758788,1547.789104,1547.79042,1,280,402,-360,42,-1.2,30.316,1.316,31.632
35,1547.807004,1547.837738,1547.838976,1,280,402,-360,42,-1.2,30.734,1.238,31.972
36,1547.850184,1547.880593,1547.881789,1,280,402,-360,42,-1.2,30.409,1.197,31.606
37,1547.898757,1547.926636,1547.92793,1,280,402,-360,42,-1.2,27.879,1.294,29.173
38,1547.9368,1547.96587,1547.967064,1,280,401,-360,41,-1.2,29.07,1.195,30.264
39,1547.985478,1548.014077,1548.015271,1,280,401,-360,41,-1.2,28.599,1.194,29.793
40,1548.024665,1548.053578,1548.054788,1,280,402,-360,42,-1.2,28.913,1.21,30.123
41,1548.071576,1548.099719,1548.100944,1,280,401,-360,41,-1.2,28.143,1.225,29.368
42,1548.111699,1548.138223,1548.139429,1,280,402,-360,42,-1.2,26.524,1.206,27.73
43,1548.15611,1548.18348,1548.184719,1,280,402,-360,42,-1.2,27.37,1.24,28.61
44,1548.193531,1548.220087,1548.22188,1,280,401,-360,41,-1.2,26.557,1.793,28.349
45,1548.240457,1548.269035,1548.270223,1,280,401,-360,41,-1.2,28.578,1.188,29.766
46,1548.279513,1548.3068,1548.307976,1,280,401,-360,41,-1.2,27.286,1.177,28.463
47,1548.324595,1548.353535,1548.354775,1,281,402,-359,42,-1.2,28.939,1.241,30.18
48,1548.365596,1548.393793,1548.395047,1,280,401,-360,41,-1.2,28.197,1.254,29.451
49,1548.411644,1548.444633,1548.446162,1,280,401,-360,41,-1.2,32.989,1.529,34.518
50,1548.454999,1548.487227,1548.488484,1,280,401,-360,41,-1.2,32.227,1.257,33.485
51,1548.507165,1548.537644,1548.53886,1,280,401,-360,41,-1.2,30.479,1.217,31.695
52,1548.548423,1548.577226,1548.578508,1,280,402,-360,42,-1.2,28.803,1.282,30.084
53,1548.595194,1548.621684,1548.622948,1,280,402,-360,42,-1.2,26.49,1.264,27.754
54,1548.633811,1548.665407,1548.666602,1,280,402,-360,42,-1.2,31.596,1.195,32.791
55,1548.683852,1548.713815,1548.715106,1,281,402,-359,42,-1.2,29.963,1.291,31.254
56,1548.724399,1548.754844,1548.756142,1,280,402,-360,42,-1.2,30.446,1.298,31.743
57,1548.774671,1548.805568,1548.806856,1,280,402,-360,42,-1.2,30.896,1.289,32.185
58,1548.816356,1548.852679,1548.853863,1,280,401,-360,41,-1.2,36.322,1.184,37.507
59,1548.870949,1548.901328,1548.902528,1,281,404,-359,44,-1.2,30.379,1.201,31.58
60,1548.913429,1548.944127,1548.945384,1,280,402,-360,42,-1.2,30.699,1.257,31.956
61,1548.962846,1548.993862,1548.995094,1,280,401,-360,41,-1.2,31.016,1.232,32.248
62,1549.003857,1549.034352,1549.035528,1,280,401,-360,41,-1.2,30.495,1.176,31.671
63,1549.054593,1549.084532,1549.085829,1,280,401,-360,41,-1.2,29.94,1.296,31.236
64,1549.095301,1549.125983,1549.12722,1,281,403,-359,43,-1.2,30.683,1.237,31.919
65,1549.143985,1549.174993,1549.176191,1,280,401,-360,41,-1.2,31.009,1.198,32.206
66,1549.187261,1549.21831,1549.219492,1,280,402,-360,42,-1.2,31.05,1.182,32.231
67,1549.236591,1549.273771,1549.275055,1,280,400,-360,40,-1.2,37.18,1.284,38.464
68,1549.28503,1549.315728,1549.317015,1,280,401,-360,41,-1.2,30.699,1.287,31.985
69,1549.333935,1549.365888,1549.367063,1,280,399,-360,39,-1.2,31.953,1.176,33.128
70,1549.378198,1549.407962,1549.409194,1,280,399,-360,39,-1.2,29.764,1.231,30.995
71,1549.426703,1549.456427,1549.457678,1,280,398,-360,38,-1.2,29.724,1.251,30.975
72,1549.466491,1549.496602,1549.497775,1,281,397,-359,37,-1.2,30.111,1.173,31.284
73,1549.516513,1549.546244,1549.547457,1,281,397,-359,37,-1.2,29.731,1.212,30.944
74,1549.557421,1549.587167,1549.588597,1,281,397,-359,37,-1.2,29.746,1.43,31.176
75,1549.605294,1549.634079,1549.635271,1,281,397,-359,37,-1.2,28.785,1.192,29.977
76,1549.646108,1549.679983,1549.681203,1,281,396,-359,36,-1.2,33.875,1.22,35.095
77,1549.698038,1549.724882,1549.726082,1,282,397,-358,37,-1.2,26.844,1.201,28.044
78,1549.735284,1549.763667,1549.764858,1,284,397,-356,37,-1.2,28.383,1.191,29.573
79,1549.78137,1549.808393,1549.809584,1,284,396,-356,36,-1.2,27.022,1.192,28.214
80,1549.82049,1549.849414,1549.85063,1,282,396,-358,36,-1.2,28.924,1.216,30.14
81,1549.86806,1549.899436,1549.900694,1,283,395,-357,35,-1.2,31.376,1.258,32.635
82,1549.909679,1549.939782,1549.941103,1,284,395,-356,35,-1.2,30.103,1.322,31.424
83,1549.96031,1549.990325,1549.991604,1,284,395,-356,35,-1.2,30.015,1.279,31.293
84,1550.000846,1550.032776,1550.033941,1,284,395,-356,35,-1.2,31.93,1.165,33.094
85,1550.050773,1550.084772,1550.085977,1,284,396,-356,36,-1.2,33.999,1.205,35.204
86,1550.096674,1550.125188,1550.126416,1,286,396,-354,36,-1.2,28.514,1.228,29.742
87,1550.144814,1550.176303,1550.177498,1,286,396,-354,36,-1.2,31.489,1.195,32.684
88,1550.186945,1550.218753,1550.219948,1,287,396,-353,36,-1.2,31.808,1.195,33.003
89,1550.236763,1550.266013,1550.267226,1,288,396,-352,36,-1.2,29.249,1.214,30.463
90,1550.278171,1550.305074,1550.306286,1,288,396,-352,36,-1.2,26.902,1.213,28.115
91,1550.323637,1550.351885,1550.353104,1,288,396,-352,36,-1.2,28.247,1.219,29.466
92,1550.361947,1550.388872,1550.390169,1,288,396,-352,36,-1.2,26.925,1.297,28.222
93,1550.408756,1550.43595,1550.437165,1,288,396,-352,36,-1.2,27.195,1.215,28.41
94,1550.446353,1550.472887,1550.474096,1,287,396,-353,36,-1.2,26.533,1.21,27.743
95,1550.4907,1550.520449,1550.521659,1,288,396,-352,36,-1.2,29.749,1.21,30.959
96,1550.532496,1550.561102,1550.562303,1,288,396,-352,36,-1.2,28.606,1.201,29.807
97,1550.579189,1550.606984,1550.608216,1,289,396,-351,36,-1.2,27.795,1.232,29.026
98,1550.617216,1550.646506,1550.647694,1,288,396,-352,36,-1.2,29.29,1.189,30.478
99,1550.667299,1550.697323,1550.698506,1,288,397,-352,37,-1.2,30.025,1.183,31.208
100,1550.707819,1550.738501,1550.739712,1,288,396,-352,36,-1.2,30.682,1.211,31.893
101,1550.756884,1550.788993,1550.790315,1,289,396,-351,36,-1.2,32.109,1.323,33.431
102,1550.801958,1550.832213,1550.833406,1,289,396,-351,36,-1.2,30.255,1.193,31.448
103,1550.850392,1550.883632,1550.884928,1,288,396,-352,36,-1.2,33.239,1.297,34.536
104,1550.893767,1550.922168,1550.923437,1,288,396,-352,36,-1.2,28.401,1.269,29.67
105,1550.942608,1550.970463,1550.97165,1,288,397,-352,37,-1.2,27.855,1.187,29.043
106,1550.980761,1551.010524,1551.011738,1,288,396,-352,36,-1.2,29.763,1.214,30.977
107,1551.028818,1551.058862,1551.060157,1,289,397,-351,37,-1.2,30.044,1.295,31.339
108,1551.071631,1551.102771,1551.103943,1,288,396,-352,36,-1.2,31.14,1.173,32.313
109,1551.121294,1551.152114,1551.153293,1,288,396,-352,36,-1.2,30.82,1.179,31.998
110,1551.162376,1551.19366,1551.194865,1,289,396,-351,36,-1.2,31.284,1.205,32.488
111,1551.214387,1551.244683,1551.245904,1,288,396,-352,36,-1.2,30.296,1.222,31.518
112,1551.255486,1551.292813,1551.294233,1,288,397,-352,37,-1.2,37.327,1.42,38.747
113,1551.310869,1551.33882,1551.340015,1,288,397,-352,37,-1.2,27.951,1.195,29.146
114,1551.351754,1551.382056,1551.383309,1,288,397,-352,37,-1.2,30.302,1.253,31.554
115,1551.400166,1551.428494,1551.429682,1,288,397,-352,37,-1.2,28.328,1.187,29.516
116,1551.438809,1551.46967,1551.47094,1,289,397,-351,37,-1.2,30.861,1.27,32.131
117,1551.487954,1551.519052,1551.52037,1,289,397,-351,37,-1.2,31.098,1.318,32.417
118,1551.532297,1551.562969,1551.564153,1,289,397,-351,37,-1.2,30.671,1.184,31.856
119,1551.581154,1551.611833,1551.613064,1,289,396,-351,36,-1.2,30.678,1.231,31.91
120,1551.622665,1551.653078,1551.654358,1,289,397,-351,37,-1.2,30.414,1.28,31.693
121,1551.671152,1551.709676,1551.71102,1,289,396,-351,36,-1.2,38.524,1.344,39.869
122,1551.7228,1551.75296,1551.75424,1,289,396,-351,36,-1.2,30.16,1.281,31.44
123,1551.771177,1551.803495,1551.804727,1,289,396,-351,36,-1.2,32.319,1.231,33.55
124,1551.814138,1551.844668,1551.845881,1,289,396,-351,36,-1.2,30.529,1.213,31.742
125,1551.862778,1551.893356,1551.894601,1,289,396,-351,36,-1.2,30.578,1.245,31.823
126,1551.905489,1551.93484,1551.936026,1,289,397,-351,37,-1.2,29.351,1.185,30.536
127,1551.953009,1551.987952,1551.989236,1,289,397,-351,37,-1.2,34.943,1.284,36.227
128,1551.99843,1552.031579,1552.032816,1,290,397,-350,37,-1.2,33.149,1.237,34.386
129,1552.049402,1552.076502,1552.077794,1,289,396,-351,36,-1.2,27.1,1.292,28.393
130,1552.088815,1552.117084,1552.118828,1,289,397,-351,37,-1.2,28.269,1.744,30.012
131,1552.135835,1552.165183,1552.166347,1,289,397,-351,37,-1.2,29.348,1.163,30.511
132,1552.175626,1552.205556,1552.206787,1,289,396,-351,36,-1.2,29.93,1.231,31.161
133,1552.226316,1552.25632,1552.25756,1,290,396,-350,36,-1.2,30.005,1.239,31.244
134,1552.266696,1552.296927,1552.298096,1,289,396,-351,36,-1.2,30.231,1.169,31.4
135,1552.316414,1552.34785,1552.34913,1,289,397,-351,37,-1.2,31.437,1.28,32.716
136,1552.360375,1552.391009,1552.392244,1,290,396,-350,36,-1.2,30.634,1.236,31.87
137,1552.409386,1552.439505,1552.440705,1,289,397,-351,37,-1.2,30.118,1.2,31.318
138,1552.450191,1552.481395,1552.482675,1,289,396,-351,36,-1.2,31.204,1.28,32.484
139,1552.499436,1552.530081,1552.531268,1,289,396,-351,36,-1.2,30.645,1.187,31.832
140,1552.542335,1552.57199,1552.573239,1,289,396,-351,36,-1.2,29.655,1.249,30.904
141,1552.59129,1552.621034,1552.622302,1,289,396,-351,36,-1.2,29.744,1.268,31.012
142,1552.631528,1552.66176,1552.662939,1,289,396,-351,36,-1.2,30.232,1.18,31.411
143,1552.679605,1552.717896,1552.719085,1,289,396,-351,36,-1.2,38.291,1.189,39.48
144,1552.730199,1552.758488,1552.759751,1,287,396,-353,36,-1.2,28.289,1.263,29.552
145,1552.776732,1552.806168,1552.807377,1,288,396,-352,36,-1.2,29.435,1.21,30.645
146,1552.816764,1552.846365,1552.847609,1,288,396,-352,36,-1.2,29.601,1.244,30.845
147,1552.864323,1552.891834,1552.893193,1,287,395,-353,35,-1.2,27.511,1.359,28.87
148,1552.904051,1552.933234,1552.9344,1,288,395,-352,35,-1.2,29.183,1.166,30.349
149,1552.951263,1552.979752,1552.981014,1,288,394,-352,34,-1.2,28.489,1.262,29.751
150,1552.990474,1553.019202,1553.02039,1,288,394,-352,34,-1.2,28.729,1.188,29.916
151,1553.037248,1553.065828,1553.067017,1,286,393,-354,33,-1.2,28.58,1.189,29.769
152,1553.078141,1553.112886,1553.114126,1,288,393,-352,33,-1.2,34.744,1.24,35.984
153,1553.131162,1553.160529,1553.161737,1,288,392,-352,32,-1.2,29.367,1.208,30.575
154,1553.170848,1553.200255,1553.20143,1,286,391,-354,31,-1.2,29.407,1.175,30.582
155,1553.217995,1553.247814,1553.249138,1,286,391,-354,31,-1.2,29.819,1.324,31.143
156,1553.26063,1553.289176,1553.290395,1,286,391,-354,31,-1.2,28.546,1.219,29.765
157,1553.307241,1553.33733,1553.338507,1,286,390,-354,30,-1.2,30.089,1.177,31.266
158,1553.347589,1553.374475,1553.375676,1,286,391,-354,31,-1.2,26.886,1.201,28.087
159,1553.392365,1553.422325,1553.42355,1,285,391,-355,31,-1.2,29.961,1.225,31.186
160,1553.434507,1553.462471,1553.463642,1,284,392,-356,32,-1.2,27.964,1.171,29.135
161,1553.480698,1553.514193,1553.515453,1,284,392,-356,32,-1.2,33.496,1.259,34.755
162,1553.524719,1553.555967,1553.557242,1,282,394,-358,34,-1.2,31.248,1.275,32.523
163,1553.57371,1553.602494,1553.603686,1,281,394,-359,34,-1.2,28.784,1.192,29.976
164,1553.614689,1553.64237,1553.643706,1,282,394,-358,34,-1.2,27.681,1.336,29.017
165,1553.660742,1553.688265,1553.689516,1,281,394,-359,34,-1.2,27.524,1.25,28.774
166,1553.698345,1553.727095,1553.728308,1,281,394,-359,34,-1.2,28.75,1.213,29.963
167,1553.746757,1553.77597,1553.777273,1,280,394,-360,34,-1.2,29.213,1.304,30.517
168,1553.786413,1553.818497,1553.819677,1,280,392,-360,32,-1.2,32.084,1.18,33.264
169,1553.836488,1553.868367,1553.869548,1,280,392,-360,32,-1.2,31.879,1.181,33.06
170,1553.880515,1553.917276,1553.91849,1,279,392,-361,32,-1.2,36.761,1.214,37.976
171,1553.936188,1553.966004,1553.967174,1,277,392,-363,32,-1.2,29.816,1.17,30.986
172,1553.976187,1554.004812,1554.00598,1,277,392,-363,32,-1.2,28.625,1.168,29.793
173,1554.024815,1554.054123,1554.055359,1,277,394,-363,34,-1.2,29.308,1.236,30.544
