t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,speed_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy,deadzone_px,target_motion_px,target_motion_filt_px,err_x_px,err_y_px,err_mag_px,err_x_norm,err_y_norm,err_mag_norm
16.0406,132.562,135.792,-18.858,0,18.858,25.198,0,1,969,358,20,29.682,27.967,329,-2,329.006,0.514062,-0.005556,0.514093
16.0931,131.562,135.792,-19.023,0,19.023,-3.135,0,1,1038,362,20,69.116,40.311,398,2,398.005,0.621875,0.005556,0.6219
16.1459,130.562,135.792,-18.954,0,18.954,1.307,0,1,1044,365,20,6.708,30.23,404,5,404.031,0.63125,0.013889,0.631403
16.1985,129.562,135.792,-19,0,19,-0.871,0,1,1021,373,20,24.352,28.467,381,13,381.222,0.595313,0.036111,0.596407
16.2513,128.562,135.792,-18.94,0,18.94,1.139,0,1,1063,367,20,42.426,32.655,423,7,423.058,0.660937,0.019444,0.661223
16.3059,127.562,135.792,-18.334,0,18.334,11.105,0,1,1079,370,20,16.279,27.742,439,10,439.114,0.685937,0.027778,0.6865
16.359,126.562,135.792,-18.834,0,18.834,-9.423,0,1,1124,378,20,45.706,33.131,484,18,484.335,0.75625,0.05,0.757901
16.4109,125.562,135.792,-19.248,0,19.248,-7.954,0,1,1094,376,20,30.067,32.212,454,16,454.282,0.709375,0.044444,0.710766
16.4623,124.562,135.792,-19.473,0,19.473,-4.39,0,1,1092,379,20,3.606,23.63,452,19,452.399,0.70625,0.052778,0.708219
16.515,123.562,135.792,-18.979,0,18.979,9.383,0,1,1095,378,20,3.162,17.49,455,18,455.356,0.710938,0.05,0.712694
16.5699,122.562,135.792,-18.205,0,18.205,14.09,0,1,1108,369,20,15.811,16.986,468,9,468.087,0.73125,0.025,0.731677
16.6205,121.562,135.792,-19.764,0,19.764,-30.818,0,1,1098,359,20,14.142,16.133,458,-1,458.001,0.715625,-0.002778,0.71563
16.6728,120.562,135.792,-19.109,0,19.109,12.516,0,1,1097,365,20,6.083,13.118,457,5,457.027,0.714063,0.013889,0.714198
16.7211,119.562,135.792,-20.708,0,20.708,-33.118,0,1,1114,369,20,17.464,14.422,474,9,474.085,0.740625,0.025,0.741047
16.7705,118.562,135.792,-20.252,0,20.252,9.246,0,1,1087,373,20,27.295,18.284,447,13,447.189,0.698438,0.036111,0.69937
16.8203,117.562,135.792,-20.086,0,20.086,3.337,0,1,1047,377,20,40.2,24.858,407,17,407.355,0.635938,0.047222,0.637688
16.8741,116.562,135.792,-18.569,0,18.569,28.17,0,1,1053,375,20,6.325,19.298,413,15,413.272,0.645312,0.041667,0.646656
16.9221,115.562,135.792,-20.845,0,20.845,-47.459,0,1,1044,376,20,9.055,16.225,404,16,404.317,0.63125,0.044444,0.632813
16.9736,114.562,135.792,-19.423,0,19.423,27.627,0,1,1036,373,20,8.544,13.921,396,13,396.213,0.61875,0.036111,0.619803
17.021,113.562,135.792,-21.071,0,21.071,-34.733,0,1,1004,377,20,32.249,19.419,364,17,364.397,0.56875,0.047222,0.570707
17.075,112.562,135.792,-18.527,0,18.527,47.132,0,1,978,376,20,26.019,21.399,338,16,338.378,0.528125,0.044444,0.529992
17.1285,111.562,135.792,-18.693,0,18.693,-3.09,0,1,962,367,20,18.358,20.487,322,7,322.076,0.503125,0.019444,0.503501
17.1835,110.562,135.792,-18.179,0,18.179,9.346,0,1,933,367,20,29,23.041,293,7,293.084,0.457813,0.019444,0.458225
17.2362,109.562,135.792,-18.992,0,18.992,-15.447,0,1,924,368,20,9.055,18.845,284,8,284.113,0.44375,0.022222,0.444306
17.2904,108.562,135.792,-18.447,0,18.447,10.058,0,1,906,374,20,18.974,18.884,266,14,266.368,0.415625,0.038889,0.41744
17.3416,107.562,135.792,-19.528,0,19.528,-21.115,0,1,892,373,20,14.036,17.429,252,13,252.335,0.39375,0.036111,0.395402
17.3947,106.562,135.792,-18.85,0,18.85,12.783,0,1,892,373,20,0,12.201,252,13,252.335,0.39375,0.036111,0.395402
17.4507,105.562,135.792,-17.849,0,17.849,17.859,0,1,891,378,20,5.099,10.07,251,18,251.645,0.392188,0.05,0.395362
17.5075,104.562,135.792,-17.613,0,17.613,4.168,0,1,886,374,20,6.403,8.97,246,14,246.398,0.384375,0.038889,0.386337
17.5593,103.562,135.792,-19.294,0,19.294,-32.435,0,1,815,374,20,71,27.579,175,14,175.559,0.273438,0.038889,0.276189
17.6185,102.562,135.792,-16.895,0,16.895,40.533,0,1,805,374,20,10,22.305,165,14,165.593,0.257812,0.038889,0.260729
17.6707,101.562,135.792,-19.14,0,19.14,-42.979,0,1,786,377,20,19.235,21.384,146,17,146.986,0.228125,0.047222,0.232961
17.7238,100.562,135.792,-18.856,0,18.856,5.364,0,1,748,376,20,38.013,26.373,108,16,109.179,0.16875,0.044444,0.174505
17.7718,99.562,135.792,-20.801,0,20.801,-40.471,0,1,744,375,20,4.123,19.698,104,15,105.076,0.1625,0.041667,0.167757
17.8302,98.562,135.792,-17.137,0,17.137,62.794,0,1,744,376,20,1,14.089,104,16,105.224,0.1625,0.044444,0.168468
17.8834,97.562,135.792,-18.805,0,18.805,-31.365,0,1,739,378,20,5.385,11.478,99,18,100.623,0.154688,0.05,0.162568
17.9386,96.562,135.792,-18.113,0,18.113,12.535,0,1,700,378,20,39,19.734,60,18,62.642,0.09375,0.05,0.10625
17.9892,96.562,135.792,0,0,0,358.096,0,1,644,378,20,56,30.614,4,18,18.439,0.00625,0.05,0.050389
18.0397,96.562,135.792,0,0,0,0,0,1,642,379,20,2.236,22.101,2,19,19.105,0.003125,0.052778,0.05287
18.0891,96.562,136.75,0,19.411,19.411,0,393.167,1,645,383,20,5,16.97,5,23,23.537,0.007812,0.063889,0.064365
18.1399,96.562,137.625,0,17.217,17.217,0,-43.17,1,643,381,20,2.828,12.728,3,21,21.213,0.004687,0.058333,0.058521
18.1918,96.562,138.625,0,19.243,19.243,0,38.997,1,643,386,20,5,10.409,3,26,26.173,0.004687,0.072222,0.072374
18.2413,96.562,139.583,0,19.374,19.374,0,2.645,1,645,383,20,3.606,8.368,5,23,23.537,0.007812,0.063889,0.064365
18.2936,96.562,139.583,0,0,0,0,-370.182,1,643,379,28.005,4.472,7.199,3,19,19.235,0.004687,0.052778,0.052986
18.3477,96.562,139.583,0,0,0,0,0,1,646,375,34.604,5,6.54,6,15,16.155,0.009375,0.041667,0.042708
18.3992,96.562,139.583,0,0,0,0,0,1,643,367,28.591,8.544,7.141,3,7,7.616,0.004687,0.019444,0.020001
18.4502,96.562,139.583,0,0,0,0,0,1,645,361,31.04,6.325,6.896,5,1,5.099,0.007812,0.002778,0.008292
18.5018,96.562,139.583,0,0,0,0,0,1,644,361,48.728,1,5.127,4,1,4.123,0.00625,0.002778,0.006839
18.5525,96.562,139.583,0,0,0,0,0,1,642,359,55.624,2.828,4.438,2,-1,2.236,0.003125,-0.002778,0.004181
18.6039,96.562,139.583,0,0,0,0,0,1,645,359,59.937,3,4.006,5,-1,5.099,0.007812,-0.002778,0.008292
18.6569,96.562,139.583,0,0,0,0,0,1,643,360,65.248,2.236,3.475,3,0,3,0.004687,0,0.004687
18.7069,96.562,139.583,0,0,0,0,0,1,644,360,72.673,1,2.733,4,0,4,0.00625,0,0.00625
18.755,96.562,139.583,0,0,0,0,0,1,645,359,76.629,1.414,2.337,5,-1,5.099,0.007812,-0.002778,0.008292
18.8056,96.562,139.583,0,0,0,0,0,1,644,360,79.397,1.414,2.06,4,0,4,0.00625,0,0.00625
18.8557,96.562,139.583,0,0,0,0,0,1,644,362,79.578,2,2.042,4,2,4.472,0.00625,0.005556,0.008362
18.9078,96.562,139.583,0,0,0,0,0,1,643,363,81.462,1.414,1.854,3,3,4.243,0.004687,0.008333,0.009561
18.9549,96.562,139.583,0,0,0,0,0,1,642,360,77.537,3.162,2.246,2,0,2,0.003125,0,0.003125
19.0046,96.562,139.583,0,0,0,0,0,1,644,359,77.567,2.236,2.243,4,-1,4.123,0.00625,-0.002778,0.006839
19.0566,96.562,139.583,0,0,0,0,0,1,642,361,75.812,2.828,2.419,2,1,2.236,0.003125,0.002778,0.004181
19.1069,96.562,139.583,0,0,0,0,0,1,643,360,78.826,1.414,2.117,3,0,3,0.004687,0,0.004687
19.1537,96.562,139.583,0,0,0,0,0,1,645,362,76.693,2.828,2.331,5,2,5.385,0.007812,0.005556,0.009586
19.2053,96.562,139.583,0,0,0,0,0,1,642,362,74.685,3,2.532,2,2,2.828,0.003125,0.005556,0.006374
19.2572,96.562,139.583,0,0,0,0,0,1,643,360,75.571,2.236,2.443,3,0,3,0.004687,0,0.004687
19.307,96.562,139.583,0,0,0,0,0,1,643,360,82.9,0,1.71,3,0,3,0.004687,0,0.004687
19.3566,96.562,139.583,0,0,0,0,0,1,642,361,83.787,1.414,1.621,2,1,2.236,0.003125,0.002778,0.004181
19.4041,96.562,139.583,0,0,0,0,0,1,641,360,84.408,1.414,1.559,1,0,1,0.001563,0,0.001563
19.4606,96.562,139.583,0,0,0,0,0,1,642,360,86.086,1,1.391,2,0,2,0.003125,0,0.003125
19.516,96.562,139.583,0,0,0,0,0,1,641,360,87.26,1,1.274,1,0,1,0.001563,0,0.001563
19.568,96.562,139.583,0,0,0,0,0,1,640,362,84.374,2.236,1.563,0,2,2,0,0.005556,0.005556
19.5739,96.953,133.875,18.344,0,18.344,-12.651,0,1,402,360,20,49.041,35.059,-238,0,238,-0.371875,0,0.371875
19.6264,97.953,133.875,19.058,0,19.058,13.605,0,1,377,359,20,25.02,32.048,-263,-1,263.002,-0.410938,-0.002778,0.410947
19.6774,98.953,133.875,19.61,0,19.61,10.81,0,1,402,361,20,25.08,29.957,-238,1,238.002,-0.371875,0.002778,0.371885
19.7324,99.953,133.875,18.176,0,18.176,-26.061,0,1,398,361,20,4,22.17,-242,1,242.002,-0.378125,0.002778,0.378135
19.7869,100.953,133.875,18.344,0,18.344,3.084,0,1,348,361,20,50,30.519,-292,1,292.002,-0.45625,0.002778,0.456258
19.8405,101.953,133.875,18.67,0,18.67,6.087,0,1,265,360,20,83.006,46.265,-375,0,375,-0.585938,0,0.585938
19.8916,102.953,133.875,19.57,0,19.57,17.619,0,1,254,360,20,11,35.686,-386,0,386,-0.603125,0,0.603125
19.9422,103.953,133.875,19.746,0,19.746,3.48,0,1,210,360,20,44,38.18,-430,0,430,-0.671875,0,0.671875
19.9933,104.953,133.875,19.594,0,19.594,-2.984,0,1,192,359,20,18.028,32.134,-448,-1,448.001,-0.7,-0.002778,0.700006
20.0463,105.953,133.875,18.855,0,18.855,-13.933,0,1,167,359,20,25,29.994,-473,-1,473.001,-0.739062,-0.002778,0.739068
20.0999,106.953,133.875,18.668,0,18.668,-3.495,0,1,163,359,20,4,22.196,-477,-1,477.001,-0.745313,-0.002778,0.745318
20.154,107.953,133.875,18.462,0,18.462,-3.806,0,1,148,358,20,15.033,20.047,-492,-2,492.004,-0.76875,-0.005556,0.76877
20.2085,108.953,133.875,18.357,0,18.357,-1.919,0,1,149,358,20,1,14.333,-491,-2,491.004,-0.767188,-0.005556,0.767208
20.2613,109.953,133.875,18.941,0,18.941,11.066,0,1,127,362,20,22.361,16.741,-513,2,513.004,-0.801562,0.005556,0.801582
20.3523,112.953,133.875,19.894,0,19.894,-30.31,0,1,96,359,20,26.019,8.745,-544,-1,544.001,-0.85,-0.002778,0.850005
20.4035,113.953,133.875,19.526,0,19.526,-7.194,0,1,110,358,20,14.036,10.332,-530,-2,530.004,-0.828125,-0.005556,0.828144
20.4581,114.953,133.875,18.317,0,18.317,-22.141,0,1,131,358,20,21,13.532,-509,-2,509.004,-0.795312,-0.005556,0.795332
20.5069,115.953,133.875,20.515,0,20.515,45.099,0,1,166,357,20,35.014,19.977,-474,-3,474.009,-0.740625,-0.008333,0.740672
20.5544,116.953,133.875,21.045,0,21.045,11.141,0,1,170,358,20,4.123,15.221,-470,-2,470.004,-0.734375,-0.005556,0.734396
20.6016,117.953,133.875,21.163,0,21.163,2.492,0,1,167,357,20,3.162,11.603,-473,-3,473.01,-0.739062,-0.008333,0.739109
20.6514,118.953,133.875,20.073,0,20.073,-21.871,0,1,187,361,20,20.396,14.241,-453,1,453.001,-0.707812,0.002778,0.707818
20.7007,119.953,133.875,20.32,0,20.32,5.019,0,1,209,358,20,22.204,16.63,-431,-2,431.005,-0.673438,-0.005556,0.67346
20.7507,120.953,133.875,19.995,0,19.995,-6.498,0,1,214,360,20,5.385,13.256,-426,0,426,-0.665625,0,0.665625
20.8004,121.953,133.875,20.086,0,20.086,1.829,0,1,235,359,20,21.024,15.587,-405,-1,405.001,-0.632812,-0.002778,0.632819
20.8514,122.953,133.875,19.629,0,19.629,-8.975,0,1,249,359,20,14,15.111,-391,-1,391.001,-0.610938,-0.002778,0.610944
20.9006,123.953,133.875,20.321,0,20.321,14.061,0,1,283,358,20,34.015,20.782,-357,-2,357.006,-0.557813,-0.005556,0.55784
20.9506,124.953,133.875,20.002,0,20.002,-6.372,0,1,285,357,20,2.236,15.218,-355,-3,355.013,-0.554688,-0.008333,0.55475
21.0012,125.953,133.875,19.76,0,19.76,-4.778,0,1,286,356,20,1.414,11.077,-354,-4,354.023,-0.553125,-0.011111,0.553237
21.0513,126.953,133.875,19.964,0,19.964,4.069,0,1,315,357,20,29.017,16.459,-325,-3,325.014,-0.507812,-0.008333,0.507881
21.101,127.953,133.875,20.114,0,20.114,3.002,0,1,353,359,20,38.053,22.937,-287,-1,287.002,-0.448437,-0.002778,0.448446
21.1521,128.953,133.875,19.568,0,19.568,-10.671,0,1,360,359,20,7,18.156,-280,-1,280.002,-0.4375,-0.002778,0.437509
21.2019,129.953,133.875,20.084,0,20.084,10.364,0,1,352,357,20,8.246,15.183,-288,-3,288.016,-0.45,-0.008333,0.450077
21.2524,130.953,133.875,19.789,0,19.789,-5.841,0,1,351,358,20,1.414,11.052,-289,-2,289.007,-0.451562,-0.005556,0.451597
21.3015,131.953,133.875,20.37,0,20.37,11.828,0,1,390,359,20,39.013,19.441,-250,-1,250.002,-0.390625,-0.002778,0.390635
21.3511,132.953,133.875,20.175,0,20.175,-3.936,0,1,444,356,20,54.083,29.833,-196,-4,196.041,-0.30625,-0.011111,0.306451
21.4012,133.953,133.875,19.965,0,19.965,-4.191,0,1,491,358,20,47.043,34.996,-149,-2,149.013,-0.232813,-0.005556,0.232879
21.4512,134.953,133.875,19.988,0,19.988,0.456,0,1,497,358,20,6,26.297,-143,-2,143.014,-0.223438,-0.005556,0.223507
21.5018,135.953,133.875,19.759,0,19.759,-4.51,0,1,500,357,20,3.162,19.357,-140,-3,140.032,-0.21875,-0.008333,0.218909
21.5517,136.953,133.875,20.068,0,20.068,6.195,0,1,500,357,20,0,13.55,-140,-3,140.032,-0.21875,-0.008333,0.218909
21.6015,137.953,133.875,20.063,0,20.063,-0.1,0,1,548,357,20,48,23.885,-92,-3,92.049,-0.14375,-0.008333,0.143991
21.6518,138.953,133.875,19.881,0,19.881,-3.624,0,1,555,357,20,7,18.819,-85,-3,85.053,-0.132812,-0.008333,0.133074
21.7021,139.953,133.875,19.865,0,19.865,-0.32,0,1,589,357,20,34,23.374,-51,-3,51.088,-0.079687,-0.008333,0.080122
21.7523,140.953,133.875,19.924,0,19.924,1.184,0,1,590,358,20,1.414,16.786,-50,-2,50.04,-0.078125,-0.005556,0.078322
21.8015,141.953,133.875,20.325,0,20.325,8.144,0,1,596,357,20,6.083,13.575,-44,-3,44.102,-0.06875,-0.008333,0.069253
21.8523,141.953,133.875,17.132,0,0,-400.409,0,1,626,360,20,30.15,18.547,-14,0,14,-0.021875,0,0.021875
21.9009,141.32,133.875,13.01,0,13.01,-267.47,0,1,667,359,20,41.012,25.287,27,-1,27.019,0.042188,-0.002778,0.042279
21.9471,140.711,133.875,13.205,0,13.205,-4.236,0,1,666,360,20,1.414,18.125,26,0,26,0.040625,0,0.040625
21.9966,140.172,133.875,10.888,0,10.888,46.808,0,1,663,359,20,3.162,13.636,23,-1,23.022,0.035937,-0.002778,0.036045
22.0461,139.562,133.875,12.303,0,12.303,-28.58,0,1,666,360,20,3.162,10.494,26,0,26,0.040625,0,0.040625
22.0958,139.562,133.875,0,0,0,247.672,0,1,666,360,26.542,0,7.346,26,0,26,0.040625,0,0.040625
22.1454,139.562,133.875,0,0,0,0,0,1,667,359,44.337,1.414,5.566,27,-1,27.019,0.042188,-0.002778,0.042279
22.1969,139.562,133.875,0,0,0,0,0,1,665,360,54.327,2.236,4.567,25,0,25,0.039062,0,0.039062
22.2454,139.562,133.875,0,0,0,0,0,1,667,360,62.029,2,3.797,27,0,27,0.042188,0,0.042188
22.2944,139.562,133.875,0,0,0,0,0,1,666,359,69.178,1.414,3.082,26,-1,26.019,0.040625,-0.002778,0.04072
22.3451,139.562,133.875,0,0,0,0,0,1,666,359,78.424,0,2.158,26,-1,26.019,0.040625,-0.002778,0.04072
22.396,139.562,133.875,0,0,0,0,0,1,667,359,81.897,1,1.81,27,-1,27.019,0.042188,-0.002778,0.042279
22.448,139.562,133.875,0,0,0,0,0,1,664,359,78.328,3,2.167,24,-1,24.021,0.0375,-0.002778,0.037603
22.5001,139.562,133.875,0,0,0,0,0,1,660,359,72.83,4,2.717,20,-1,20.025,0.03125,-0.002778,0.031373
22.5523,139.562,133.875,0,0,0,0,0,1,659,359,77.981,1,2.202,19,-1,19.026,0.029687,-0.002778,0.029817
22.6024,139.562,133.875,0,0,0,0,0,1,662,359,75.587,3,2.441,22,-1,22.023,0.034375,-0.002778,0.034487
22.6518,139.562,133.875,0,0,0,0,0,1,664,359,76.911,2,2.309,24,-1,24.021,0.0375,-0.002778,0.037603
22.7012,139.562,133.875,0,0,0,0,0,1,661,360,74.351,3.162,2.565,21,0,21,0.032813,0,0.032813
22.7385,139.562,133.875,0,0,0,0,0,1,661,359,79.045,1,2.095,21,-1,21.024,0.032813,-0.002778,0.03293
22.7917,139.562,133.875,0,0,0,0,0,1,662,359,82.332,1,1.767,22,-1,22.023,0.034375,-0.002778,0.034487
22.8475,139.562,133.875,0,0,0,0,0,1,663,359,84.632,1,1.537,23,-1,23.022,0.035937,-0.002778,0.036045
22.9048,139.562,133.875,0,0,0,0,0,1,661,359,83.243,2,1.676,21,-1,21.024,0.032813,-0.002778,0.03293
22.9575,139.562,133.875,0,0,0,0,0,1,662,359,85.27,1,1.473,22,-1,22.023,0.034375,-0.002778,0.034487
23.0108,139.562,133.875,0,0,0,0,0,1,663,359,86.689,1,1.331,23,-1,23.022,0.035937,-0.002778,0.036045
23.065,139.562,133.875,0,0,0,0,0,1,657,359,72.682,6,2.732,17,-1,17.029,0.026562,-0.002778,0.026707
23.1198,139.562,133.875,0,0,0,0,0,1,657,359,80.878,0,1.912,17,-1,17.029,0.026562,-0.002778,0.026707
23.1721,139.562,133.875,0,0,0,0,0,1,659,360,79.906,2.236,2.009,19,0,19,0.029687,0,0.029687
23.2227,139.562,133.875,0,0,0,0,0,1,658,359,81.692,1.414,1.831,18,-1,18.028,0.028125,-0.002778,0.028262
23.2747,139.562,133.875,0,0,0,0,0,1,660,359,81.184,2,1.882,20,-1,20.025,0.03125,-0.002778,0.031373
23.33,139.562,133.875,0,0,0,0,0,1,663,359,77.829,3,2.217,23,-1,23.022,0.035937,-0.002778,0.036045
23.3818,139.562,133.875,0,0,0,0,0,1,662,359,81.48,1,1.852,22,-1,22.023,0.034375,-0.002778,0.034487
23.4347,139.562,133.875,0,0,0,0,0,1,664,359,81.036,2,1.896,24,-1,24.021,0.0375,-0.002778,0.037603
23.488,139.562,133.875,0,0,0,0,0,1,663,359,83.725,1,1.627,23,-1,23.022,0.035937,-0.002778,0.036045
23.5409,139.562,133.875,0,0,0,0,0,1,662,359,85.608,1,1.439,22,-1,22.023,0.034375,-0.002778,0.034487
23.5948,139.562,133.875,0,0,0,0,0,1,661,358,85.683,1.414,1.432,21,-2,21.095,0.032813,-0.005556,0.033279
23.6486,139.562,133.875,0,0,0,0,0,1,664,359,80.491,3.162,1.951,24,-1,24.021,0.0375,-0.002778,0.037603
23.7026,139.562,133.875,0,0,0,0,0,1,663,359,83.344,1,1.666,23,-1,23.022,0.035937,-0.002778,0.036045
23.7556,139.562,133.875,0,0,0,0,0,1,664,359,85.341,1,1.466,24,-1,24.021,0.0375,-0.002778,0.037603
23.8077,139.562,133.875,0,0,0,0,0,1,665,359,86.738,1,1.326,25,-1,25.02,0.039062,-0.002778,0.039161
23.8604,139.562,133.875,0,0,0,0,0,1,664,359,87.717,1,1.228,24,-1,24.021,0.0375,-0.002778,0.037603
23.9156,139.562,133.875,0,0,0,0,0,1,662,359,85.402,2,1.46,22,-1,22.023,0.034375,-0.002778,0.034487
23.9706,139.562,133.875,0,0,0,0,0,1,662,360,86.781,1,1.322,22,0,22,0.034375,0,0.034375
24.0215,139.562,133.875,0,0,0,0,0,1,667,359,75.45,5.099,2.455,27,-1,27.019,0.042188,-0.002778,0.042279
24.073,139.562,133.875,0,0,0,0,0,1,667,359,82.815,0,1.719,27,-1,27.019,0.042188,-0.002778,0.042279
